

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
245.521  000.702  000.702: require('plenary.tbl')
245.529  001.058  000.357: require('plenary.vararg.rotate')
245.530  001.733  000.674: require('plenary.vararg')
246.192  000.660  000.660: require('plenary.errors')
246.198  002.810  000.417: require('plenary.async.async')
247.772  000.387  000.387: require('plenary.async.structs')
247.801  000.822  000.435: require('plenary.async.control')
247.811  001.229  000.407: require('plenary.async.util')
247.814  001.614  000.385: require('plenary.async.tests')
247.817  005.395  000.972: require('plenary.async')
247.963  008.559  001.524: require('telescope._extensions.file_browser.actions')
249.605  000.482  000.482: require('telescope._extensions.file_browser.git')
250.032  000.423  000.423: require('telescope._extensions.file_browser.fs_stat')
250.046  001.461  000.556: require('telescope._extensions.file_browser.make_entry')
252.193  000.458  000.458: require('plenary.class')
252.344  001.501  001.043: require('telescope._')
253.422  001.074  001.074: require('telescope.make_entry')
253.427  003.379  000.804: require('telescope.finders.async_oneshot_finder')
255.397  001.029  001.029: require('telescope.finders.async_static_finder')
255.978  000.577  000.577: require('telescope.finders.async_job_finder')
256.019  002.590  000.984: require('telescope.finders')
256.127  008.161  000.731: require('telescope._extensions.file_browser.finders')
259.710  001.370  001.370: require('telescope.debounce')
260.226  000.509  000.509: require('telescope.mappings')
260.613  000.383  000.383: require('telescope.pickers.highlights')
260.986  000.369  000.369: require('telescope.pickers.window')
261.334  000.346  000.346: require('telescope.pickers.layout')
262.512  000.826  000.826: require('telescope.algos.linked_list')
262.520  001.184  000.358: require('telescope.entry_manager')
262.895  000.372  000.372: require('telescope.pickers.multi')
262.918  006.173  001.640: require('telescope.pickers')
262.923  006.794  000.621: require('telescope._extensions.file_browser.picker')
263.298  000.373  000.373: require('telescope._extensions.file_browser.config')
263.303  024.487  000.600: require('telescope._extensions.file_browser')
266.668  000.573  000.573: sourcing /home/kenj/.local/share/nvim/lazy/fzf-lua/plugin/fzf-lua.vim
267.562  000.416  000.416: sourcing /home/kenj/.local/share/nvim/lazy/neogit/plugin/neogit.lua
268.331  000.729  000.729: require('neogit')
269.692  000.843  000.843: require('neogit.lib.util')
269.795  001.460  000.617: require('neogit.config')
270.559  000.762  000.762: require('neogit.lib.signs')
272.665  000.396  000.396: require('neogit.lib.mappings_manager')
273.957  000.392  000.392: require('neogit.lib.ui.component')
273.969  001.300  000.908: require('neogit.lib.ui')
274.359  000.375  000.375: require('neogit.lib.uv')
274.363  002.673  000.602: require('neogit.lib.buffer')
276.919  000.435  000.435: require('neogit.logger')
278.394  000.395  000.395: require('neogit.lib.notification')
278.411  000.906  000.511: require('neogit.process')
278.450  001.527  000.621: require('neogit.lib.git.cli')
283.095  000.379  000.379: require('neogit.lib.collection')
283.108  000.910  000.532: require('neogit.lib.git.status')
283.912  000.379  000.379: require('neogit.lib.git.config')
285.372  001.111  001.111: require('neogit.lib.finder')
285.376  001.461  000.350: require('neogit.buffers.fuzzy_finder')
285.385  002.274  000.435: require('neogit.lib.git.branch')
286.229  000.376  000.376: require('neogit.lib.item_filter')
286.235  000.848  000.472: require('neogit.lib.git.diff')
286.606  000.369  000.369: require('neogit.lib.git.stash')
287.775  000.362  000.362: require('neogit.lib.json')
287.786  000.809  000.447: require('neogit.lib.git.log')
287.789  001.179  000.370: require('neogit.lib.git.pull')
288.190  000.398  000.398: require('neogit.lib.git.push')
289.362  000.363  000.363: require('neogit.lib.rpc')
289.368  000.802  000.439: require('neogit.client')
289.374  001.181  000.379: require('neogit.lib.git.rebase')
289.749  000.373  000.373: require('neogit.lib.git.sequencer')
290.099  000.346  000.346: require('neogit.lib.git.merge')
290.107  014.661  004.820: require('neogit.lib.git.repository')
290.439  000.325  000.325: require('neogit.lib.git.rev_parse')
291.131  000.368  000.368: require('neogit.lib.input')
291.134  000.692  000.324: require('neogit.lib.git.init')
291.462  000.326  000.326: require('neogit.lib.git.files')
291.908  000.444  000.444: require('neogit.lib.git.fetch')
292.285  000.371  000.371: require('neogit.lib.git.refs')
292.611  000.324  000.324: require('neogit.lib.git.tag')
293.236  000.622  000.622: require('neogit.lib.git.reflog')
293.664  000.422  000.422: require('neogit.lib.git.cherry_pick')
294.107  000.439  000.439: require('neogit.lib.git.reset')
294.471  000.361  000.361: require('neogit.lib.git.revert')
294.794  000.320  000.320: require('neogit.lib.git.remote')
295.111  000.313  000.313: require('neogit.lib.git.index')
295.445  000.332  000.332: require('neogit.lib.git.worktree')
295.448  020.413  000.461: require('neogit.lib.git')
295.464  021.099  000.686: require('neogit.buffers.git_command_history')
296.753  000.330  000.330: require('neogit.buffers.commit_view.parsing')
298.022  000.782  000.782: require('neogit.buffers.common')
